,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Eiji Kawashima,,20March1983,,,,,"YononishiJuniorHighSchool(1995-1997),UrawaHigashiHighSchool(1998-2000)",71,Right,GOA(Goalkeeper),Ligue1,,,,StrasbourgII,,67,,,,,185,39years,National3,Strasbourg,24years,Japan,49,0.1,"16,22,23,18,21,6",,Saitama,176,Japan,,,70,1,95,,69,24/03/2007,72,Ligue_1,05/12/2022,,69,,,79,AsiaOriental,39,Asia
Robin Birckel,,02December2004,,,,,"FCBennwihr(2010-2015),SRColmar(2015-2017),RCStrasbourg(2017-)",,Right,GOA(Goalkeeper),Ligue1,,,,StrasbourgII,,,,,transfer,,193,,National3,Strasbourg,,France,40,0.1,"40,16",,Colmar,,France,,,,1,,,,,,Ligue_1,,,,,,61,EuropaOccidental,18,Europe
A. Pierre,,25February2001,,,,,,,Right,GOA(Goalkeeper),National3,,,,Strasbourg,,,,,,1,190,21years,Ligue1,StrasbourgII,21years,France,37,0,"1,16,23,20",,Aubervilliers,4,Haiti,,,,40,1,,,04/06/2022,,Ligue_1,15/06/2022,,,,,50,EuropaOccidental,21,Europe
Alexander Djiku,,09August1994,05-07-2019,4M€,10M€,6.5M€,SCBastia(2012-2014),,Right,DF(Defender),Ligue1,1M€annual,05-07-2019,30-06-2023,Caen,,,68,58,4transfers,,182,,Ligue2,Strasbourg,,France,75,10.3,"23,33,34,2,4,5,6,13",68,Montpellier,,Ghana,77,64,,24,,47,,,,Ligue_1,,10.3M€,,,,80,EuropaOccidental,28,Europe
G. Nyamsi,,22January1997,,,,,StadeRennais(2003-2017),,Right,DF(Defender),Ligue1,,,,StadeRennais,,,52,44,,,195,21years,Ligue1,Strasbourg,21years,France,73,7.1,"20,5,22,24,14,12,17",53,Saint-Brieuc,1,France,66,45,,4,1,36,,07/06/2018,,Ligue_1,07/06/2018,,,,,77,EuropaOccidental,26,Europe
T. Delaine,,24March1992,,,,,RCLens(2001-2010),,Left,DF(Defender),Ligue1,,,,Metz,,,64,62,,,180,,Ligue2,Strasbourg,,France,70,2.1,"17,5,14,2,35,11",76,Lens,,France,65,58,,3,,44,,,,Ligue_1,,,,,,74,EuropaOccidental,30,Europe
L. Perrin,SMISPORTSMANAGEMENT,19November1998,,6M€,3.5M€,,OlympiquedeMarseille(2004-2018),,Right,DF(Defender),Ligue1,241.6k€annual,01-07-2018,30-06-2025,OlympiqueMarseille,,,51,46,transfer,,187,,Ligue1,Strasbourg,,France,70,6.8,"32,15,12,17",53,Marseille,,France,64,44,,5,,31,,,,Ligue_1,,6.7M€,,Puma,,75,EuropaOccidental,24,Europe
F. Guilbert,Wasserman,24December1994,,3M€,5M€,,"ASValognes(2000-2008),SMCaen(2008-2012)",,Right,DF(Defender),Ligue1,1.8M€annual,17-01-2023,30-06-2026,AstonVillaSub21,,,69,60,transfer,,178,,PremierLeague2DivisionTwo,Strasbourg,,France,68,2.8,"21,2,26,4,32,6,34,5,11,8,13",76,Valognes,,France,73,66,,24,,50,,,,Ligue_1,,2.8M€,,,,75,EuropaOccidental,28,Europe
E. Sobol,ProStar,20April1995,,,3M€,,FCMetalurgZaporizja(2008-2011),,Left,DF(Defender),Ligue1,675.8k€annual,23-01-2023,30-06-2026,ClubBrugge,,,72,58,transfer,,181,,BelgianProLeague,Strasbourg,,Ukraine,70,5,"95,21,3,18,15,77,9,55,19",76,Vil’nyanka,,Ukraine,73,66,,2,,71,,,,Ligue_1,,5M€,,,,76,EuropadelEste,27,Europe
M. Le Marchand,OneTeamFootball,11October1989,,1M€,1.2M€,,USSaint-Malo,,Left,DF(Defender),Ligue1,810.2k€annual,26-08-2021,30-06-2023,Antwerp,,,65,50,transfer,,181,,BelgianProLeague,Strasbourg,,France,66,1.1,"21,23,31,15,4",62,Saint-Malo,,France,68,63,,20,,42,,,,Ligue_1,,1.1M€,,,,75,EuropaOccidental,33,Europe
C. Dagba,PiniZahavi,09September1998,,2M€,5M€,,"FCLillers(2004-2006),FCLaRoupieIsbergues(2006-2010),RCLens(2010-2013),USBoulogne(2013-2",,Right,DF(Defender),Ligue1,1.6M€annual,01-07-2018,30-06-2025,PSG,,,79,62,transfer,,168,,Ligue1,Strasbourg,,France,59,4.4,"13,2,17,34,15,3",82,Béthune,,France,67,69,,31,,54,,,,Ligue_1,,4.4M€,,Nike,,68,EuropaOccidental,24,Europe
I. Doukoure,,24July2003,,5M€,2M€,,"LilleWazemmes(2008-2009),IrisClubLambersart(2009-2012),LOSCLille(2012-2017),ValenciennesF",,Right,DF(Defender),Ligue1,76.4k€annual,,30-06-2026,StrasbourgII,,,,,transfer,,182,,National3,Strasbourg,,France,60,2.3,"29,20,5,2,8,19",,Lille,,France,,,,4,,,,,,Ligue_1,,2.3M€,,,,76,EuropaOccidental,19,Europe
A. Nuss,USMGROUP,19December2003,,,,,"FAIllkirch-Graffenstaden,FCMatzenheim(-2016),RCStrasbourg(2016-2022)",,Right,DF(Defender),Ligue1,,,,StrasbourgII,,,,,transfer,,179,,National3,Strasbourg,,,40,0.1,"31,18",,,,France,,,,2,,,,,,Ligue_1,,,,,,58,,19,
J. Bellegarde,,27June1998,,,,,"VilletaneuseCS(2009-2012),LeMansFC(2012-2013),RCLens(2013-2015)",,Right,MID(Midfielder),Ligue1,,,,Lens,,,76,59,,2,170,21years,Ligue1,Strasbourg,19years,France,74,11.6,"6,14,11,8,7,33",79,Colombes,4,France,70,65,,17,1,51,,07/06/2018,,Ligue_1,15/11/2019,,,,,78,EuropaOccidental,24,Europe
D. Liénard,MPFOOTBALL,13February1988,,1M€,600k€,,,,Left,MID(Midfielder),Ligue1,556.9k€annual,01-07-2013,30-06-2023,StrasbourgII,,,,,transfer,,184,,National3,Strasbourg,,France,70,1,,,Belfort,,France,,,,11,,,,,,Ligue_1,,1M€,,,28-06-2021,76,EuropaOccidental,34,Europe
S. Prcic,ACTalent,20November1993,,4M€,3.5M€,,,,Right,MID(Midfielder),Ligue1,727.8k€annual,02-09-2019,30-06-2025,StrasbourgII,,,66,54,transfer,,181,,National3,Strasbourg,,France,70,8.3,"8,10,26,20,24,23,7,11,32,21,18",58,Belfort,,BosniaandHerzegovina,66,70,,14,,65,,,,Ligue_1,,8.3M€,,,24-05-2022,74,EuropaOccidental,29,Europe
I. Sissoko,ASRSPORT,27October1997,,3M€,8M€,,"CSMeaux(2006-2013),USTorcy(2013-2014),StadeBrest(2014-2015)",,Right,MID(Midfielder),Ligue1,579.3k€annual,01-07-2018,30-06-2024,StadeBrestoisII,,,60,53,transfer,,193,,National3,Strasbourg,,France,67,8.2,"27,6,8,15,7,17",53,Meaux,,France,71,63,,18,,54,,,,Ligue_1,,8.2M€,,Adidas,22-05-2020,74,EuropaOccidental,25,Europe
M. Sanson,PiniZahavi,18August1994,,,6M€,,"GazélecBourges(2000-2005),Bourges18(2005-2009),LeMans(2009-2012)",,Right,MID(Midfielder),Ligue1,3.1M€annual,26-01-2021,30-06-2025,AstonVilla,,,76,60,transfer,,182,,PremierLeague,Strasbourg,,France,56,5.3,"20,25,10,13,14,22",74,Saint-Doulchard,,France,78,77,,8,,73,,,,Ligue_1,,5.3M€,,Puma,,82,EuropaOccidental,28,Europe
J. Aholou,Miembrodesufamilia,20March1994,,2M€,3M€,,LOSCLille(-2013),,Left,MID(Midfielder),Ligue1,1.4M€annual,09-07-2018,30-06-2024,Monaco,,,70,57,transfer,,187,,Ligue1,Strasbourg,,IvoryCoast,66,4.7,"8,17,5,4,33,2,35,13,12",70,Abidjan,,IvoryCoast,69,64,,6,,58,,,,Ligue_1,,4.6M€,,,,72,AfricaOccidental,28,Africa
H. Diarra,Carmenta,03January2004,,4M€,3M€,,"FCMulhouse(2011-2018),RCStrasbourg(2018-)",,Right,MID(Midfielder),Ligue1,,,30-06-2027,StrasbourgII,,,,,transfer,,180,,National3,Strasbourg,,Senegal,52,3.2,"8,35,6,13",,Guédiawaye,,France,,,,19,,,,,,Ligue_1,,3.2M€,,Nike,21-07-2022,70,AfricaOccidental,19,Africa
Y. Suzuki,,25October2001,,,700k€,,,,Right,MID(Midfielder),Ligue1,,,,ShimizuS-Pulse,,,,,transfer,,175,,J2League,Strasbourg,,Japan,48,0.7,"18,37",,Miura,,Japan,,,,23,,,,,,Ligue_1,,721k€,,,03-01-2021,59,AsiaOriental,21,Asia
N. Kandil,,31October2001,,,,,RCStrasbourg(-2020),,Left,MID(Midfielder),Ligue1,,,,StrasbourgII,,,,,,,166,,National3,Strasbourg,,France,32,0.2,"13,10,16,12",,Strasbourg,,France,,,,34,,,,,,Ligue_1,,,,,,46,EuropaOccidental,21,Europe
F. Bouebari,,30June2003,,,,,,,Right,MID(Midfielder),Ligue1,,,,StrasbourgII,,,,,,,,,National3,Strasbourg,,,41,,"35,14",,,,France,,,,5,,,,,,Ligue_1,,,,,,57,,19,
K. Gameiro,TeamSpiritFootballConsult.,09May1987,,1M€,1.5M€,,"ESMarly-la-Ville(1993-1999),USChantilly(1999-2004),RCStrasbourg(2004-2005)",,Right,STR(Striker),Ligue1,1.5M€annual,18-07-2021,30-06-2023,Valencia,80M€,,78,44,transfer,,172,,LaLiga,Strasbourg,,France,75,1.5,"21,19,18,7,23,33,10",83,Senlis,,France,74,73,,9,,75,,,,Ligue_1,,1.5M€,,,,83,EuropaOccidental,35,Europe
H. Diallo,Wasserman,18June1995,,7M€,12M€,,GénérationFoot,,Right,STR(Striker),Ligue1,833.6k€annual,05-10-2020,30-06-2025,Metz,,,71,33,transfer,,185,,Ligue2,Strasbourg,,Senegal,75,13.9,"11,17,12,7,9,14,28,26,10",73,Thiès,,Senegal,75,54,,20,,60,,,,Ligue_1,,13.9M€,,,,79,AfricaOccidental,27,Africa
L. Mothiba,MDCAdvisors,28January1996,,1M€,1.5M€,,"MightyBucks,MamelodiSundownsAcademy(2007-2009),KemptonParkFC(2009-2010),DiambarsAcademy(",,Right,STR(Striker),Ligue1,828.4k€annual,27-01-2022,30-06-2024,StrasbourgII,,,68,32,transfer,,181,,National3,Strasbourg,,SouthAfrica,55,1.9,"9,14,18,26,15,11,23,34",69,Johannesburg,,SouthAfrica,69,59,,12,,64,,,,Ligue_1,,1.9M€,,Adidas,,74,ÁfricadelSur,27,Africa
D. Jean,2SAgency,28November2002,,250M€,,,,,Right,STR(Striker),Ligue1,,,30-06-2025,StrasbourgII,,,,,transfer,,168,,National3,Strasbourg,,Haiti,43,0.1,"10,38,29,15,33",,Port-au-Prince,,Haiti,,,,11,,,,,,Ligue_1,,,,,16-05-2022,58,Caribe,20,AmericadelNorte
B. Leroy,NexSt11,07April1989,,1M€,600k€,,,61,Right,GOA(Goalkeeper),Ligue1,396k€annual,01-07-2018,30-06-2023,DijonFCO,,67,,,transfer,,184,,Ligue2,Ajaccio,,France,71,0.7,"30,40,16,12",,Cucq,,France,,,69,1,,,71,,69,Ligue_1,,703k€,55,,28-11-2019,75,EuropaOccidental,33,Europe
F. Sollacaro,JLSportConsulting,21March1994,,1M€,,,ACAjaccio(2003-2014),56,Right,GOA(Goalkeeper),Ligue1,22.1M€annual,01-07-2018,30-06-2024,AjaccioII,,56,,,transfer,,182,,National3,Ajaccio,,France,47,0.2,"1,16,18,40",,Ajaccio,,France,,,57,30,,,62,,66,Ligue_1,,,64,,06-07-2021,55,EuropaOccidental,28,Europe
G. Quilichini,,01September2002,,1M€,,,,,Right,GOA(Goalkeeper),Ligue1,2.6k€annual,,30-06-2023,AjaccioII,,,,,transfer,,182,,National3,Ajaccio,,France,43,0.2,"40,16,30",,Ajaccio,,France,,,,1,,,,,,Ligue_1,,,,,08-07-2022,56,EuropaOccidental,20,Europe
Oumar Gonzalez,N.Agency,25February1998,,2M€,2.5M€,,USBaille(2005–2008)AirBel(2008–2013)FCMetz(2013–2015),,Right,DF(Defender),Ligue1,121.2k€annual,01-07-2021,30-06-2023,Chambly,,,,,transfer,,186,,National2,Ajaccio,,Cameroon,67,2.7,"4,5,6",,Douala,,Cameroon,,,,25,,,,,,Ligue_1,,2.7M€,,,,73,AfricaCentral,24,Africa
M. Youssouf,GlobalFootballAgency,26March1988,01-07-2018,1M€,,,,,Left,DF(Defender),Ligue1,109k€annual,01-07-2018,30-06-2023,AjaccioII,,,66,52,10transfers,,169,,National3,Ajaccio,,France,66,0.4,"19,39,17,11,77,13,28,6,8,14",69,Paris,,Comoros,67,59,,20,,52,,,,Ligue_1,,,,,,71,EuropaOccidental,34,Europe
C. Avinel,ASRSPORT,11September1986,,1M€,,,,,Right,DF(Defender),Ligue1,176k€annual,01-07-2017,30-06-2023,Clermont,,,54,48,transfer,,187,,Ligue1,Ajaccio,,France,66,0.2,"21,5,6,32,3,29",73,Paris,,Guadalupe,75,47,,4,,44,,,,Ligue_1,,,,,21-06-2022,74,EuropaOccidental,36,Europe
I. Diallo,SupernovaManagement,29January1997,,1M€,1.5M€,,ESBingerville,,Left,DF(Defender),Ligue1,86.6k€annual,01-07-2018,30-06-2023,AjaccioII,,,54,59,transfer,,178,,National3,Ajaccio,,IvoryCoast,65,1.8,"5,4,17,33,34,13,2",64,Abidjan,,IvoryCoast,53,42,,3,,33,,,,Ligue_1,,1.8M€,,Puma,01-07-2020,70,AfricaOccidental,26,Africa
F. Mayembo,,09January1996,,,,,"MelunFC,CSBrétigny,LBChâteauroux(2013-2015),ChamoisNiortais(2015-2016)",,Right,DF(Defender),Ligue1,,,,LeHavre,,,44,49,,,184,25years,Ligue2,Ajaccio,21years,Congo,64,1.4,"4,20,77,2,15,12",55,Brazzaville,15,Congo,56,39,,5,15,33,,01/09/2017,,Ligue_1,09/10/2021,,,,,69,AfricaCentral,27,Africa
M. Alphonse,Classico,12July1989,,1M€,,,,,Right,DF(Defender),Ligue1,168k€annual,21-08-2020,30-06-2024,AmiensSC,,,62,51,transfer,,182,,Ligue2,Ajaccio,,France,63,0.6,"13,12,23",71,Champigny-sur-Marne,,Guadalupe,67,54,,2,,41,,,,Ligue_1,,613k€,,,,69,EuropaOccidental,33,Europe
C. Vidal,firstelevenISM,18June2000,,2M€,1.5M€,,"Pujaulaise(2006-2008),Villeneuve(2008-2011),SCOrange(2011-2014),MontpellierHSC(2014-2019)",,Right,DF(Defender),Ligue1,124.8k€annual,01-07-2019,30-06-2025,AjaccioII,,,45,47,transfer,,181,,National3,Ajaccio,,France,58,1.2,"4,27,5,2,14,12",50,Montpellier,,France,59,39,,15,,33,,,,Ligue_1,,1.2M€,,,,68,EuropaOccidental,22,Europe
Y. Kone,,05July1995,,,,,LOSCLille(2013-2015),,Left,DF(Defender),Ligue1,,,,AjaccioII,,,73,58,,4,174,25years,National3,Ajaccio,20years,Mali,58,1.4,"28,4,99,12,33,18,14,34,6,19",77,Bamako,25,Mali,69,63,,3,12,49,,06/09/2015,,Ligue_1,24/03/2021,,,,,73,AfricaOccidental,27,Africa
C. Alhadhur,,04December1991,,,,,,,Right,DF(Defender),National3,,,,Ajaccio,,,67,55,,2,172,30years,Ligue1,AjaccioII,22years,France,53,0.1,"3,2,21,44,5,32,34,14,20",68,Nantes,34,Comoros,68,56,,24,26,45,,05/03/2014,,Ligue_1,27/09/2022,,,,,66,EuropaOccidental,31,Europe
V. Marchetti,TTMA,04July1997,,2M€,3M€,,"GazélecAjaccio(2003-2010),ACAjaccio(2010-2015)",,Left,MID(Midfielder),Ligue1,129.8k€annual,05-10-2020,30-06-2024,Nancy,,,70,53,transfer,,181,,National,Ajaccio,,France,67,3.8,"33,27,6,36,12,13",69,Ajaccio,,France,67,65,,8,,60,,,,Ligue_1,,3.7M€,,,11-08-2022,72,EuropaOccidental,25,Europe
M. Coutadeur,,20March1986,,,,,,,Right,MID(Midfielder),Ligue1,,,,StadeLavallois,,,67,56,,,169,22years,Ligue2,Ajaccio,20years,France,66,0.1,"6,10,14",57,LeMans,8,France,73,72,,20,5,67,,14/11/2006,,Ligue_1,10/10/2008,,,,,74,EuropaOccidental,36,Europe
T. Mangani,Kemari,29April1987,,1M€,600k€,,,,Left,MID(Midfielder),Ligue1,934.2k€annual,01-07-2015,30-06-2024,AngersSCO,,,67,56,transfer,,183,,Ligue1,Ajaccio,,France,64,0.5,"15,6,17,3,23,29,25,16,84",53,Carpentras,,France,70,76,,5,,74,,,,Ligue_1,,537k€,,,,79,EuropaOccidental,35,Europe
M. Barreto,AllianceSoccerConsulting,18January1991,,1M€,500k€,,,,Right,MID(Midfielder),Ligue1,203.6k€annual,01-07-2020,30-06-2023,AjaccioII,,,76,37,transfer,,175,,National3,Ajaccio,,France,58,0.5,"10,7,11,6,22,9,8,34,16",79,SãoPaulo,,France,71,63,,4,,61,,,,Ligue_1,,,,,,66,EuropaOccidental,32,Europe
Y. Cimignani,,22January2002,,,,,"USGhisonaccia(2005-2012),SCBastia(2012-2015),ACAjaccio(2015-2020)",,Right,MID(Midfielder),Ligue1,,,,AjaccioII,,,,,,,176,,National3,Ajaccio,,France,56,1.5,"10,15",,Lyon,,France,,,,22,,,,,,Ligue_1,,,,,,68,EuropaOccidental,21,Europe
A. N'Diaye,,14June1991,,,,,,,Right,MID(Midfielder),National3,,,,Ajaccio,,,76,36,,,180,,Ligue1,AjaccioII,,France,51,0.1,"11,9,29,33,7",86,Limoges,,France,73,52,,19,,58,,,,Ligue_1,,,,,,65,EuropaOccidental,31,Europe
F. Chabrolle,WildersSport,07April1998,,1M€,,,"DeuilEnghienFC(2004-2011),EntenteSSG(2011-2014),OlympiquedeMarseille(2014-2018)",,Right,MID(Midfielder),Ligue1,109.7k€annual,05-01-2021,30-06-2023,AjaccioII,,,67,40,transfer,,175,,National3,Ajaccio,,France,43,0.2,"11,8,10,6,9,31",59,Montmorency,,France,61,63,,29,,58,,,,Ligue_1,,,,,,50,EuropaOccidental,24,Europe
Paolo Lebas,,20April2003,,,,,,,Unknown,MID(Midfielder),Ligue1,25k€annual,,30-06-2023,AjaccioII,,,,,transfer,,183,,National3,Ajaccio,,France,41,,"32,13,99,34",,Tourcoing,,Portugal,,,,6,,,,,,Ligue_1,,,,,,57,EuropaOccidental,19,Europe
Y. Belaïli,ROGON,14March1992,,2M€,1.8M€,,"RCGOran,MCOran,CABordjBouArreridj",,Right,STR(Striker),Ligue1,1.6M€annual,29-08-2019,30-06-2023,StadeBrestois,,,75,34,transfer,,178,,Ligue1,Ajaccio,,Algeria,69,4,"11,8,19,31,17,24,92,27,18",81,Oran,,Algeria,63,65,,10,,62,,,,Ligue_1,,4M€,,,,74,ÁfricadelNorte,30,Africa
R. Nouri,Just4playerGroup,07June1985,,1M€,,,,,Right,STR(Striker),Ligue1,184.6k€annual,07-09-2020,30-06-2024,Umraniyespor,,,72,38,transfer,,178,,TurkishSüperLig,Ajaccio,,France,66,0.1,"5,18,10,19,21,9,17,15,6",69,Marseille,,France,65,64,,7,,61,,,,Ligue_1,,,,,21-06-2022,76,EuropaOccidental,37,Europe
R. Hamouma,GalleaGestionS.A,29March1987,,1M€,600k€,,"JSLuronnes,Belfort",,Right,STR(Striker),Ligue1,1.3M€annual,19-07-2012,30-06-2023,Saint-Étienne,,,76,46,transfer,,177,,Ligue2,Ajaccio,,France,66,0.5,"20,7,17,14,11",69,Lure,,France,69,76,,21,,75,,,,Ligue_1,,529k€,,,,77,EuropaOccidental,35,Europe
C. Bayala,SVFFOOT,24May1996,,2M€,1M€,,,,Right,STR(Striker),Ligue1,129.8k€annual,15-01-2021,30-06-2024,Lens,,,71,38,transfer,,181,,Ligue1,Ajaccio,,BurkinaFaso,65,2.6,"31,20,14,7,10,28,13,17",82,Ouagadougou,,BurkinaFaso,67,61,,21,,56,,,,Ligue_1,,2.6M€,,,21-06-2022,70,AfricaOccidental,26,Africa
M. El Idrissy,N.Agency,10February1999,,1M€,1.8M€,,"OlympiquedeMarseille(-2013),SCBel-Air(2013-2015),ACAjaccio(2015-2019)",,Right,STR(Striker),Ligue1,64.2k€annual,01-07-2019,30-06-2023,AjaccioII,,,65,29,transfer,,181,,National3,Ajaccio,,France,64,2.7,"36,9,15,17,19",75,Marseille,,France,63,55,,7,,53,,,,Ligue_1,,2.7M€,,,28-01-2020,71,EuropaOccidental,23,Europe
Y. Touzghar,,28November1986,,,,,"FCAvignon(1991-2004),ASCannes(2004-2005)",,Right,STR(Striker),Ligue1,,,,Troyes,,,72,34,,4,179,35years,Ligue1,Ajaccio,28years,France,64,0.4,"9,14,20",72,Avignon,9,Tunisia,74,56,,7,2,62,,12/06/2015,,Ligue_1,12/01/2022,,,,,74,EuropaOccidental,36,Europe
K. Spadanuda,SoccerMondialAG,16January1997,,1M€,800k€,,"FCGlattfelden,GrasshopperClubZürich,FCAarau",,Right,STR(Striker),Ligue1,62.4k€annual,01-07-2019,30-06-2025,AjaccioII,,,,,transfer,,177,,National3,Ajaccio,,Switzerland,61,1,"27,13,11,9",,Bulach,,Switzerland,,,,7,,,,,,Ligue_1,,1M€,,,,67,EuropaOccidental,26,Europe
M. Djitte,FSManagement,04October1999,,,2M€,,ASCNiarryTally(2016–2018),,Right,STR(Striker),Ligue1,87.4k€annual,07-07-2021,31-12-2024,AustinFC,,,76,34,transfer,,180,,MLS,Ajaccio,,,60,2,"22,28,99,15",79,Sédhiou,,Senegal,74,51,,2,,51,,,,Ligue_1,,2M€,,,,68,,23,
Ruan,TalentsSports,19January1999,,,,,,,Right,STR(Striker),Ligue1,8.8k€annual,,30-06-2023,Jacuipense,,,,,transfer,,177,,SérieDBrazil,Ajaccio,,Brazil,45,0,"7,20,24,11,12,18",,SãoSebastiãodoPassé,,Brazil,,,,21,,,,,,Ligue_1,,,,,,53,Sudamérica,24,AmericadelSur
M. Soumano,,09July2005,,,,,,,Unknown,STR(Striker),Ligue1,,,,AjaccioII,,,,,,,,,National3,Ajaccio,,,39,,"10,18",,,,France,,,,34,,,,,,Ligue_1,,,,,,53,,17,
Jean Botué,SVFFOOT,07August2002,,1M€,500k€,,,,Left,STR(Striker),Ligue1,25k€annual,,30-06-2023,AjaccioII,,,,,transfer,,184,,National3,Ajaccio,,BurkinaFaso,37,0.4,"7,10,26,33,9",,Ouagadougou,,BurkinaFaso,,,,18,,,,,,Ligue_1,,,,,,53,AfricaOccidental,20,Africa
D. Léon,management360,03November1992,01-07-2020,1M€,1.2M€,,,64,Right,GOA(Goalkeeper),Ligue1,122k€annual,01-07-2020,30-06-2023,StadeBrestois,,66,,,4transfers,,187,,Ligue1,Auxerre,,FrenchGuiana,62,1.2,"30,1,22,25,18,23",,Cayenne,,FrenchGuiana,,,66,16,,,66,,71,Ligue_1,,1.2M€,64,,,71,Sudamérica,30,AmericadelSur
I. Radu,OscarDamiani,28May1997,,2M€,3.5M€,,"ViitorulBukarest,SteauaBukarest",72,Right,GOA(Goalkeeper),Ligue1,2M€annual,30-01-2020,30-06-2024,Cremonese,,69,,,transfer,,188,,SerieA,Auxerre,,Romania,56,1.8,"1,92,98,12,21,16",,Bucharest,,Romania,,,75,97,,,79,,80,Ligue_1,,1.8M€,59,,,73,EuropadelEste,25,Europe
T. De Percin,Sinagente,02February2001,,,,,,,Right,GOA(Goalkeeper),Ligue1,25k€annual,17-03-2021,30-06-2024,AuxerreII,,,,,transfer,,185,,National2,Auxerre,,France,44,0.1,"1,16",,Tarbes,,France,,,,40,,,,,,Ligue_1,,,,,,55,EuropaOccidental,22,Europe
Jubal Júnior,ElenkoSportsLtda.,29August1993,,,2M€,,,,Right,DF(Defender),Ligue1,252.5k€annual,03-09-2020,30-06-2025,VitóriaSetúbal,,,53,49,transfer,,190,,Liga3,Auxerre,,Brazil,71,1.8,"4,3,36,6,14,15,17",59,Inhuma,,Brazil,67,40,,33,,32,,,,Ligue_1,,1.8M€,,,22-07-2022,75,Sudamérica,29,AmericadelSur
A. Zedadka,SportProjectManagement,30May1995,,3M€,3M€,,,,Right,DF(Defender),Ligue1,224.1k€annual,01-07-2019,30-06-2025,Lille,,,76,55,transfer,,173,,Ligue1,Auxerre,,France,68,3.8,"20,32,13,19,18,4,3",83,Pertuis,,Algeria,62,53,,2,,51,,,,Ligue_1,,3.8M€,,,,73,EuropaOccidental,27,Europe
T. Pellenard,,04March1994,,,,,"USPradetane(2000-2006),HyèresFC(2006-2008),LaValette(2008-2009),GirondinsdeBordeaux(2009",,Left,DF(Defender),Ligue1,,,,Valenciennes,,,62,51,,,182,20years,Ligue2,Auxerre,20years,France,66,0.9,"5,26,4,3,37,23,33,16,14",61,Lille,5,France,66,60,,21,2,41,,21/05/2014,,Ligue_1,01/06/2014,,,,,71,EuropaOccidental,28,Europe
Gideon Mensah,HC,18July1998,,4M€,2M€,,,,Left,DF(Defender),Ligue1,449k€annual,29-08-2019,30-06-2025,Salzburg,,,73,58,transfer,,178,,AustrianBundesliga,Auxerre,,Ghana,62,3.4,"17,2,4,13",76,Accra,,Ghana,68,64,,14,,58,,,,Ligue_1,,3.3M€,,,,69,AfricaOccidental,24,Africa
J. Jeanvier,Carrierefoot,31March1992,,1M€,800k€,,"USClichy-sur-Seine(2000-2006),EntenteSSG(2006-2007),INFClairefontaine(2006-2008),ASNancy(",,Right,DF(Defender),Ligue1,562.4k€annual,11-06-2018,30-06-2023,Brentford,,,60,54,transfer,,183,,PremierLeague,Auxerre,,France,61,1.2,"21,15,19,4,27,5,17",68,Clichy,,Guinea,72,48,,23,,38,,,,Ligue_1,,1.2M€,,,,71,EuropaOccidental,30,Europe
D. Bain,,02July1993,,,800k€,,LBChâteauroux,,Left,DF(Defender),Ligue1,505.2k€annual,01-07-2019,30-06-2023,StadeBrestois,,,56,48,transfer,,182,,Ligue1,Auxerre,,France,48,0.9,"17,2,32,5,4,7,27,33",64,Paris,,France,71,47,,21,,30,,,,Ligue_1,,919k€,,,,74,EuropaOccidental,29,Europe
K. Boto,Wasserman,07March1996,,3M€,700k€,,"SaintDenisFC,AJAuxerre(2011-2014)",,Left,DF(Defender),Ligue1,122k€annual,01-07-2014,30-06-2024,AuxerreII,,,65,52,transfer,,186,,National2,Auxerre,,Reunion,57,0.6,"3,14,4,24,7,5,12",71,Saint-Denis,,Madagascar,70,56,,13,,50,,,,Ligue_1,,626k€,,,19-05-2021,67,ÁfricaOriental,26,Africa
B. Pereira,,21May2003,,,,,"OlympiqueSaint-Quentinois(2012-2017),RCLens(2017-2021)",,Right,DF(Defender),Ligue1,,,,AuxerreII,,,,,,1,175,19years,National2,Auxerre,19years,France,50,0.4,"19,7,15,33",,Saint-Quentin,4,France,,,,2,3,,,21/09/2022,,Ligue_1,21/11/2022,,,,,70,EuropaOccidental,19,Europe
Isaak Touré,NDSPORTSMANAGEMENT,28March2003,01-07-2022,4M€,5M€,5.5M€,"A.EnAvantSaint-Pierre(2010-2013),COCleon(2013-2014),LeHavre(2014-2020)",,Left,DF(Defender),Ligue1,,,30-06-2027,OlympiqueMarseille,,,,,4transfers,,204,,Ligue1,Auxerre,,France,49,3,"6,4,95,36,18",,Gonesse,,France,,,,5,,,,,,Ligue_1,,3M€,,,,68,EuropaOccidental,19,Europe
